#Parameters = {L=80; L2=36.5; W=40; W2=20; a=0.628; b=2.1; feed=8; h=3.175; t=0.1; y0=13}
#"Frequency / GHz"	"S1,1 (y0=13) [Magnitude]"
#--------------------------------------------
2.0000000000000	-0.21911371004774
2.0006000995636	-0.22232647261936
2.0011999607086	-0.22553811270186
2.0018000602722	-0.22874358615304
2.0023999214172	-0.23194361098606
2.0030000209808	-0.23513262394745
2.0035998821259	-0.23830999581360
2.0041999816895	-0.24147193415805
2.0048000812531	-0.24461732857975
2.0053999423981	-0.24774339839946
2.0060000419617	-0.25084818865810
2.0065999031067	-0.25392760393576
2.0072000026703	-0.25698127641193
2.0078001022339	-0.26000823417124
2.0083999633789	-0.26300381242146
2.0090000629425	-0.26596655012094
2.0095999240875	-0.26889543559771
2.0102000236511	-0.27178850810964
2.0107998847961	-0.27464335278494
2.0113999843597	-0.27745903001948
2.0120000839233	-0.28023367629969
2.0125999450684	-0.28296419707183
2.0132000446320	-0.28565168970841
2.0137999057770	-0.28829297305687
2.0144000053406	-0.29088724217980
2.0150001049042	-0.29343264289136
2.0155999660492	-0.29592975117800
2.0162000656128	-0.29837446289152
2.0167999267578	-0.30076769998523
2.0174000263214	-0.30310875591765
2.0179998874664	-0.30539497132196
2.0185999870300	-0.30762695538294
2.0192000865936	-0.30980393766999
2.0197999477386	-0.31192438438134
2.0204000473022	-0.31398759033578
2.0209999084473	-0.31599392040392
2.0216000080109	-0.31794231223656
2.0222001075745	-0.31983204194819
2.0227999687195	-0.32166316961953
2.0234000682831	-0.32343618498240
2.0239999294281	-0.32514932866652
2.0246000289917	-0.32680332269666
2.0251998901367	-0.32839773360212
2.0257999897003	-0.32993394006400
2.0264000892639	-0.33140930751085
2.0269999504089	-0.33282629092206
2.0276000499725	-0.33418442986176
2.0281999111176	-0.33548336625464
2.0288000106812	-0.33672390609440
2.0294001102448	-0.33790690733559
2.0299999713898	-0.33903179018513
2.0306000709534	-0.34009987947393
2.0311999320984	-0.34111184725065
2.0318000316620	-0.34206705251740
2.0323998928070	-0.34296792405090
2.0329999923706	-0.34381330420851
2.0336000919342	-0.34460558019069
2.0341999530792	-0.34534488657844
2.0348000526428	-0.34603237028616
2.0353999137878	-0.34666892451762
2.0360000133514	-0.34725452887349
2.0366001129150	-0.34779047055453
2.0371999740601	-0.34827926958085
2.0378000736237	-0.34872142594851
2.0383999347687	-0.34911714427116
2.0390000343323	-0.34946789842354
2.0395998954773	-0.34977601571841
2.0401999950409	-0.35004165390857
2.0408000946045	-0.35026475141904
2.0413999557495	-0.35044952746029
2.0420000553131	-0.35059580671384
2.0425999164581	-0.35070561739281
2.0432000160217	-0.35077829076653
2.0438001155853	-0.35081771044333
2.0443999767303	-0.35082417109002
2.0450000762939	-0.35079868631912
2.0455999374390	-0.35074350280827
2.0462000370026	-0.35066082182025
2.0467998981476	-0.35055094547100
2.0473999977112	-0.35041420513827
2.0480000972748	-0.35025373345557
2.0485999584198	-0.35007178631749
2.0492000579834	-0.34986907077861
2.0497999191284	-0.34964606626396
2.0504000186920	-0.34940528406918
2.0510001182556	-0.34914855065600
2.0515999794006	-0.34887681982340
2.0522000789642	-0.34859204836178
2.0527999401093	-0.34829605687160
2.0534000396729	-0.34798905461837
2.0539999008179	-0.34767326393468
2.0546000003815	-0.34735145911326
2.0552000999451	-0.34702344688461
2.0557999610901	-0.34669088541337
2.0564000606537	-0.34635696084357
2.0569999217987	-0.34602126436053
2.0576000213623	-0.34568498586853
2.0581998825073	-0.34535172186681
2.0587999820709	-0.34502205744500
2.0594000816345	-0.34469548754799
2.0599999427795	-0.34437639163483
2.0606000423431	-0.34406461783600
2.0611999034882	-0.34376069384283
2.0618000030518	-0.34346818507250
2.0624001026154	-0.34318645895443
2.0629999637604	-0.34291785934451
2.0636000633240	-0.34266326955715
2.0641999244690	-0.34242353569489
2.0648000240326	-0.34220079666361
2.0653998851776	-0.34199613304758
2.0659999847412	-0.34180986559461
2.0666000843048	-0.34164372921424
2.0671999454498	-0.34149926616120
2.0678000450134	-0.34137727141683
2.0683999061584	-0.34127793428985
2.0690000057220	-0.34120272646630
2.0696001052856	-0.34115358110941
2.0701999664307	-0.34113055914208
2.0708000659943	-0.34113456133156
2.0713999271393	-0.34116642988309
2.0720000267029	-0.34122918445762
2.0725998878479	-0.34132023404794
2.0731999874115	-0.34144203026641
2.0738000869751	-0.34159506218653
2.0743999481201	-0.34178136825213
2.0750000476837	-0.34199959362119
2.0755999088287	-0.34225146137814
2.0762000083923	-0.34253841070326
2.0768001079559	-0.34285879904737
2.0773999691010	-0.34321571063469
2.0780000686646	-0.34360795694877
2.0785999298096	-0.34403611230623
2.0792000293732	-0.34450112873729
2.0797998905182	-0.34500452591736
2.0803999900818	-0.34554416998333
2.0810000896454	-0.34612316788290
2.0815999507904	-0.34673987104713
2.0822000503540	-0.34739598696597
2.0827999114990	-0.34808912188450
2.0834000110626	-0.34882365646006
2.0840001106262	-0.34959588191451
2.0845999717712	-0.35040776875682
2.0852000713348	-0.35125930094389
2.0857999324799	-0.35215018152296
2.0864000320435	-0.35308129266700
2.0869998931885	-0.35405152020571
2.0875999927521	-0.35506200853245
2.0882000923157	-0.35611231257305
2.0887999534607	-0.35720179497200
2.0894000530243	-0.35833052525273
2.0899999141693	-0.35949914893267
2.0906000137329	-0.36070639549198
2.0912001132965	-0.36195257465619
2.0917999744415	-0.36323865250678
2.0924000740051	-0.36456248803319
2.0929999351501	-0.36592416860237
2.0936000347137	-0.36732482844375
2.0941998958588	-0.36876232823544
