#Parameters = {L=80; L2=36.5; W=40; W2=20; a=0.628; b=2.1; feed=8; h=3.175; t=0.1; y0=13}
#""	"S1,1 (y0=13) [Mag]"	"S1,1 (y0=13) [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#----------------------------------------------------------------------------------------------
2.0000000000000	0.97508912868995	82.931182228275	50.209741149544	0.0000000000000
2.0006000995636	0.97472852653094	82.865093646876	50.209741149544	0.0000000000000
2.0011999607086	0.97436818364676	82.799523482817	50.209741149544	0.0000000000000
2.0018000602722	0.97400866548269	82.734446267162	50.209741149544	0.0000000000000
2.0023999214172	0.97364989073794	82.669886106601	50.209741149544	0.0000000000000
2.0030000209808	0.97329248207568	82.605792460743	50.209741149544	0.0000000000000
2.0035998821259	0.97293650856987	82.542203506594	50.209741149544	0.0000000000000
2.0041999816895	0.97258239338971	82.479078806444	50.209741149544	0.0000000000000
2.0048000812531	0.97223025889021	82.416432727645	50.209741149544	0.0000000000000
2.0053999423981	0.97188041414840	82.354250149430	50.209741149544	0.0000000000000
2.0060000419617	0.97153307544977	82.292504612555	50.209741149544	0.0000000000000
2.0065999031067	0.97118869811501	82.231197308316	50.209741149544	0.0000000000000
2.0072000026703	0.97084732019502	82.170327928255	50.209741149544	0.0000000000000
2.0078001022339	0.97050904720830	82.109893165551	50.209741149544	0.0000000000000
2.0083999633789	0.97017439702849	82.049868247298	50.209741149544	0.0000000000000
2.0090000629425	0.96984352912484	81.990228159978	50.209741149544	0.0000000000000
2.0095999240875	0.96951655262844	81.930969686437	50.209741149544	0.0000000000000
2.0102000236511	0.96919368246363	81.872120770016	50.209741149544	0.0000000000000
2.0107998847961	0.96887518396984	81.813613730340	50.209741149544	0.0000000000000
2.0113999843597	0.96856115768238	81.755474705182	50.209741149544	0.0000000000000
2.0120000839233	0.96825180705358	81.697663061282	50.209741149544	0.0000000000000
2.0125999450684	0.96794747252202	81.640181222247	50.209741149544	0.0000000000000
2.0132000446320	0.96764802716708	81.583025809262	50.209741149544	0.0000000000000
2.0137999057770	0.96735382079710	81.526171727340	50.209741149544	0.0000000000000
2.0144000053406	0.96706493830899	81.469604053323	50.209741149544	0.0000000000000
2.0150001049042	0.96678158136588	81.413309786430	50.209741149544	0.0000000000000
2.0155999660492	0.96650368106913	81.357287799371	50.209741149544	0.0000000000000
2.0162000656128	0.96623168931210	81.301498756141	50.209741149544	0.0000000000000
2.0167999267578	0.96596549861973	81.245957262151	50.209741149544	0.0000000000000
2.0174000263214	0.96570518279319	81.190631270468	50.209741149544	0.0000000000000
2.0179998874664	0.96545103271493	81.135498754052	50.209741149544	0.0000000000000
2.0185999870300	0.96520297585891	81.080584464500	50.209741149544	0.0000000000000
2.0192000865936	0.96496109315360	81.025832200491	50.209741149544	0.0000000000000
2.0197999477386	0.96472555034524	80.971245624993	50.209741149544	0.0000000000000
2.0204000473022	0.96449642112497	80.916795291992	50.209741149544	0.0000000000000
2.0209999084473	0.96427366044338	80.862496322015	50.209741149544	0.0000000000000
2.0216000080109	0.96405738182402	80.808305260746	50.209741149544	0.0000000000000
2.0222001075745	0.96384766125546	80.754237478090	50.209741149544	0.0000000000000
2.0227999687195	0.96364448781299	80.700251870368	50.209741149544	0.0000000000000
2.0234000682831	0.96344780305369	80.646347216958	50.209741149544	0.0000000000000
2.0239999294281	0.96325779813430	80.592497786289	50.209741149544	0.0000000000000
2.0246000289917	0.96307438906160	80.538690401152	50.209741149544	0.0000000000000
2.0251998901367	0.96289762013554	80.484909528657	50.209741149544	0.0000000000000
2.0257999897003	0.96272733490198	80.431168186664	50.209741149544	0.0000000000000
2.0264000892639	0.96256382189353	80.377428986851	50.209741149544	0.0000000000000
2.0269999504089	0.96240680565490	80.323662329229	50.209741149544	0.0000000000000
2.0276000499725	0.96225633402451	80.269894927701	50.209741149544	0.0000000000000
2.0281999111176	0.96211244360349	80.216073281590	50.209741149544	0.0000000000000
2.0288000106812	0.96197504218137	80.162210059899	50.209741149544	0.0000000000000
2.0294001102448	0.96184403197724	80.108278224253	50.209741149544	0.0000000000000
2.0299999713898	0.96171947458095	80.054279387609	50.209741149544	0.0000000000000
2.0306000709534	0.96160122082016	80.000184116387	50.209741149544	0.0000000000000
2.0311999320984	0.96148919398063	79.945979910275	50.209741149544	0.0000000000000
2.0318000316620	0.96138346283714	79.891666611224	50.209741149544	0.0000000000000
2.0323998928070	0.96128375651822	79.837216088377	50.209741149544	0.0000000000000
2.0329999923706	0.96119020125769	79.782629660599	50.209741149544	0.0000000000000
2.0336000919342	0.96110253111537	79.727878262747	50.209741149544	0.0000000000000
2.0341999530792	0.96102072959226	79.672990537582	50.209741149544	0.0000000000000
2.0348000526428	0.96094466830480	79.617912642123	50.209741149544	0.0000000000000
2.0353999137878	0.96087424708066	79.562641558927	50.209741149544	0.0000000000000
2.0360000133514	0.96080946693723	79.507180789430	50.209741149544	0.0000000000000
2.0366001129150	0.96075018435639	79.451502409005	50.209741149544	0.0000000000000
2.0371999740601	0.96069611959610	79.395603137122	50.209741149544	0.0000000000000
2.0378000736237	0.96064721647704	79.339485757658	50.209741149544	0.0000000000000
2.0383999347687	0.96060345158229	79.283123568205	50.209741149544	0.0000000000000
2.0390000343323	0.96056466121533	79.226515392543	50.209741149544	0.0000000000000
2.0395998954773	0.96053058740736	79.169632700082	50.209741149544	0.0000000000000
2.0401999950409	0.96050121221197	79.112504848565	50.209741149544	0.0000000000000
2.0408000946045	0.96047654200705	79.055078208688	50.209741149544	0.0000000000000
