 2910         0,48885       -33,13         
 2920         0,4912        -34,31         
 2930         0,49187       -35,57         
 2940         0,49186       -36,87         
 2950         0,49559       -38,23         
 2960         0,49952       -39,66         
 2970         0,50473       -41,21         
 2980         0,5103        -42,81         
 2990         0,51343       -44,40         
 3000         0,51518       -45,98         
